Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,39-297,LAL,,MIN,W (+7),1,34:39,7,16,.438,1,4,.250,1,1,1.000,0,5,5,4,0,2,2,3,16,10.1,-6
2,2,2024-10-25,39-300,LAL,,PHO,W (+7),1,34:42,7,13,.538,2,5,.400,5,8,.625,0,4,4,8,0,0,2,1,21,17.9,+14
3,3,2024-10-26,39-301,LAL,,SAC,W (+4),1,33:46,12,22,.545,4,9,.444,4,4,1.000,0,14,14,10,0,1,5,3,32,27.1,+13
4,4,2024-10-28,39-303,LAL,@,PHO,L (-4),1,35:48,3,14,.214,2,5,.400,3,6,.500,0,5,5,8,1,0,2,1,11,6.9,-17
5,5,2024-10-30,39-305,LAL,@,CLE,L (-24),1,28:58,9,13,.692,1,3,.333,7,7,1.000,1,5,6,3,0,0,6,2,26,18.0,-17
6,6,2024-11-01,39-307,LAL,@,TOR,W (+6),1,36:15,9,17,.529,5,8,.625,4,6,.667,0,6,6,10,1,0,0,1,27,27.3,+11
7,7,2024-11-04,39-310,LAL,@,DET,L (-12),1,40:00,7,16,.438,1,2,.500,5,5,1.000,1,7,8,11,2,0,1,1,20,22.7,-16
8,8,2024-11-06,39-312,LAL,@,MEM,L (-17),1,35:25,15,24,.625,6,11,.545,3,4,.750,0,7,7,6,1,0,5,2,39,29.3,-21
9,9,2024-11-08,39-314,LAL,,PHI,W (+10),1,33:48,9,14,.643,2,4,.500,1,1,1.000,0,12,12,13,0,3,2,0,21,27.6,+12
10,10,2024-11-10,39-316,LAL,,TOR,W (+20),1,34:47,6,14,.429,0,3,.000,7,7,1.000,2,8,10,16,1,0,3,0,19,24.6,+13
11,11,2024-11-13,39-319,LAL,,MEM,W (+5),1,36:56,13,22,.591,4,7,.571,5,8,.625,1,11,12,14,1,0,6,2,35,31.6,+3
12,12,2024-11-15,39-321,LAL,@,SAS,W (+5),1,37:49,6,12,.500,1,4,.250,2,4,.500,1,15,16,12,1,0,7,0,15,15.8,+3
13,13,2024-11-16,39-322,LAL,@,NOP,W (+5),1,37:02,8,19,.421,2,7,.286,3,5,.600,4,3,7,5,1,0,6,1,21,11.9,+1
14,14,2024-11-19,39-325,LAL,,UTA,W (+6),1,33:53,9,17,.529,1,5,.200,7,11,.636,0,2,2,12,0,0,4,1,26,20.7,-5
